path,parent_path,plant_id,type,latitude,longitude,manufacturer,model,description,downstream_power
GOO.PS06.I002.L1CB18,GOO.PS06.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS06.I002.L1CB19,GOO.PS06.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS06.I002.L1CB20,GOO.PS06.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS06.I002.L1CB21,GOO.PS06.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS06.I002.L1CB22,GOO.PS06.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS06.I002.L1CB23,GOO.PS06.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS06.I002.L1CB24,GOO.PS06.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS06.I002.L1CB25,GOO.PS06.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS06.I002.L1CB26,GOO.PS06.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS06.I002.L1CB27,GOO.PS06.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS06.I002.L1CB28,GOO.PS06.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS06.I002.L1CB29,GOO.PS06.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS06.I002.L1CB30,GOO.PS06.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS06.I002.L1CB31,GOO.PS06.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS06.I002.L1CB32,GOO.PS06.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,92.349
GOO.PS07.I001.L1CB02,GOO.PS07.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,92.349
GOO.PS07.I001.L1CB18,GOO.PS07.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS07.I001.L1CB19,GOO.PS07.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS07.I001.L1CB20,GOO.PS07.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS07.I001.L1CB21,GOO.PS07.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS07.I001.L1CB22,GOO.PS07.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS07.I001.L1CB23,GOO.PS07.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS07.I001.L1CB24,GOO.PS07.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS07.I001.L1CB25,GOO.PS07.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS07.I001.L1CB26,GOO.PS07.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS07.I001.L1CB27,GOO.PS07.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS07.I001.L1CB28,GOO.PS07.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS07.I001.L1CB29,GOO.PS07.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS07.I001.L1CB30,GOO.PS07.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS07.I001.L1CB31,GOO.PS07.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
