asset_id,provider,signal_name,provider_signal_path
62202,isotrol,Act_Energy_D,LSF.P10L3.Act_Energy_D_5M
62202,isotrol,Setpoint,LSF.P10L3.Setpoint_Pac_5M
62203,isotrol,Setpoint,LSF.P11L1.Setpoint_Pac_5M
62203,isotrol,Act_Energy_D,LSF.P11L1.Act_Energy_D_5M
62204,isotrol,Act_Energy_D,LSF.P11L2.Act_Energy_D_5M
62204,isotrol,Setpoint,LSF.P11L2.Setpoint_Pac_5M
62205,isotrol,Setpoint,LSF.P11L3.Setpoint_Pac_5M
62205,isotrol,Act_Energy_D,LSF.P11L3.Act_Energy_D_5M
62206,isotrol,Act_Energy_D,LSF.P12L1.Act_Energy_D_5M
62206,isotrol,Setpoint,LSF.P12L1.Setpoint_Pac_5M
62207,isotrol,Setpoint,LSF.P12L2.Setpoint_Pac_5M
62207,isotrol,Act_Energy_D,LSF.P12L2.Act_Energy_D_5M
62208,isotrol,Setpoint,LSF.P12L3.Setpoint_Pac_5M
62208,isotrol,Act_Energy_D,LSF.P12L3.Act_Energy_D_5M
62209,isotrol,Setpoint,LSF.P13L1.Setpoint_Pac_5M
62209,isotrol,Act_Energy_D,LSF.P13L1.Act_Energy_D_5M
62210,isotrol,Setpoint,LSF.P13L2.Setpoint_Pac_5M
62210,isotrol,Act_Energy_D,LSF.P13L2.Act_Energy_D_5M
62211,isotrol,Setpoint,LSF.P13L3.Setpoint_Pac_5M
62211,isotrol,Act_Energy_D,LSF.P13L3.Act_Energy_D_5M
62212,isotrol,Setpoint,LSF.P14L1.Setpoint_Pac_5M
62212,isotrol,Act_Energy_D,LSF.P14L1.Act_Energy_D_5M
62213,isotrol,Act_Energy_D,LSF.P14L2.Act_Energy_D_5M
62213,isotrol,Setpoint,LSF.P14L2.Setpoint_Pac_5M
62214,isotrol,Act_Energy_D,LSF.P14L3.Act_Energy_D_5M
62214,isotrol,Setpoint,LSF.P14L3.Setpoint_Pac_5M
62215,isotrol,Setpoint,LSF.P15L1.Setpoint_Pac_5M
62215,isotrol,Act_Energy_D,LSF.P15L1.Act_Energy_D_5M
62216,isotrol,Setpoint,LSF.P15L2.Setpoint_Pac_5M
62216,isotrol,Act_Energy_D,LSF.P15L2.Act_Energy_D_5M
62217,isotrol,Act_Energy_D,LSF.P15L3.Act_Energy_D_5M
62217,isotrol,Setpoint,LSF.P15L3.Setpoint_Pac_5M
62218,isotrol,Act_Energy_D,LSF.P16L1.Act_Energy_D_5M
62218,isotrol,Setpoint,LSF.P16L1.Setpoint_Pac_5M
62219,isotrol,Act_Energy_D,LSF.P16L2.Act_Energy_D_5M
62219,isotrol,Setpoint,LSF.P16L2.Setpoint_Pac_5M
62220,isotrol,Setpoint,LSF.P16L3.Setpoint_Pac_5M
62220,isotrol,Act_Energy_D,LSF.P16L3.Act_Energy_D_5M
62221,isotrol,Act_Energy_D,LSF.P17L1.Act_Energy_D_5M
62221,isotrol,Setpoint,LSF.P17L1.Setpoint_Pac_5M
62222,isotrol,Setpoint,LSF.P17L2.Setpoint_Pac_5M
62222,isotrol,Act_Energy_D,LSF.P17L2.Act_Energy_D_5M
62223,isotrol,Act_Energy_D,LSF.P17L3.Act_Energy_D_5M
62223,isotrol,Setpoint,LSF.P17L3.Setpoint_Pac_5M
62224,isotrol,Setpoint,LSF.P18L1.Setpoint_Pac_5M
62224,isotrol,Act_Energy_D,LSF.P18L1.Act_Energy_D_5M
62225,isotrol,Act_Energy_D,LSF.P18L2.Act_Energy_D_5M
62225,isotrol,Setpoint,LSF.P18L2.Setpoint_Pac_5M
62226,isotrol,Setpoint,LSF.P18L3.Setpoint_Pac_5M
62226,isotrol,Act_Energy_D,LSF.P18L3.Act_Energy_D_5M
62227,isotrol,Setpoint,LSF.P19L1.Setpoint_Pac_5M
62227,isotrol,Act_Energy_D,LSF.P19L1.Act_Energy_D_5M
62228,isotrol,Setpoint,LSF.P19L2.Setpoint_Pac_5M
62228,isotrol,Act_Energy_D,LSF.P19L2.Act_Energy_D_5M
62229,isotrol,Act_Energy_D,LSF.P20L1.Act_Energy_D_5M
62229,isotrol,Setpoint,LSF.P20L1.Setpoint_Pac_5M
62230,isotrol,Setpoint,LSF.P20L2.Setpoint_Pac_5M
62230,isotrol,Act_Energy_D,LSF.P20L2.Act_Energy_D_5M
62231,isotrol,Setpoint,LSF.P20L3.Setpoint_Pac_5M
62231,isotrol,Act_Energy_D,LSF.P20L3.Act_Energy_D_5M
62232,isotrol,Setpoint,LSF.P21L1.Setpoint_Pac_5M
62232,isotrol,Act_Energy_D,LSF.P21L1.Act_Energy_D_5M
62233,isotrol,Act_Energy_D,LSF.P21L2.Act_Energy_D_5M
62233,isotrol,Setpoint,LSF.P21L2.Setpoint_Pac_5M
62234,isotrol,Setpoint,LSF.P21L3.Setpoint_Pac_5M
62234,isotrol,Act_Energy_D,LSF.P21L3.Act_Energy_D_5M
62235,isotrol,Setpoint,LSF.P22L1.Setpoint_Pac_5M
62235,isotrol,Act_Energy_D,LSF.P22L1.Act_Energy_D_5M
62236,isotrol,Setpoint,LSF.P22L2.Setpoint_Pac_5M
62236,isotrol,Act_Energy_D,LSF.P22L2.Act_Energy_D_5M
62237,isotrol,Setpoint,LSF.P22L3.Setpoint_Pac_5M
62237,isotrol,Act_Energy_D,LSF.P22L3.Act_Energy_D_5M
62238,isotrol,Setpoint,LSF.P23L1.Setpoint_Pac_5M
62238,isotrol,Act_Energy_D,LSF.P23L1.Act_Energy_D_5M
62239,isotrol,Setpoint,LSF.P23L2.Setpoint_Pac_5M
62239,isotrol,Act_Energy_D,LSF.P23L2.Act_Energy_D_5M
62240,isotrol,Setpoint,LSF.P23L3.Setpoint_Pac_5M
62240,isotrol,Act_Energy_D,LSF.P23L3.Act_Energy_D_5M
62241,isotrol,Act_Energy_D,LSF.P24L1.Act_Energy_D_5M
62241,isotrol,Setpoint,LSF.P24L1.Setpoint_Pac_5M
62242,isotrol,Setpoint,LSF.P24L2.Setpoint_Pac_5M
62242,isotrol,Act_Energy_D,LSF.P24L2.Act_Energy_D_5M
62243,isotrol,Setpoint,LSF.P24L3.Setpoint_Pac_5M
62243,isotrol,Act_Energy_D,LSF.P24L3.Act_Energy_D_5M
62244,isotrol,Setpoint,LSF.P25L1.Setpoint_Pac_5M
